"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-02-04","6.04"," 0946"," 1133","0.07",,"0.0","0.0",,"45","33",,"   50","   80","14.1","21.0"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-02-05","10.29"," 1939"," 1627","2.00",,"0.0","0.0",,"39","34",,"  270","  100","23.0","31.1"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-02-06","3.80"," 2119"," 0942","0.00",,"0.0","0.0",,"41","34",,"   50","   60","10.1","16.1"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-02-07","2.46"," 2333"," 1318","0.00",,"0.0","0.0",,"44","29",,"   30","  100","8.1","16.1"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-02-08","5.37"," 0744"," 1359","0.00",,"0.0","0.0",,"50","34",,"   60","  200","10.1","14.1"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-02-09","5.37"," 1410"," 1410","0.11",,"0.0","0.0",,"44","37",,"  130","  130","13.0","16.1"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-02-10","14.09"," 1319"," 1219","0.00",,"0.0","0.0",,"40","25",,"  300","  290","31.1","42.9"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-02-11","5.59"," 1403"," 2312","0.00",,"0.0","0.0",,"46","24",,"  300","   50","12.1","16.1"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-02-12","4.47"," 0327"," 0326","0.21",,"2.8","0.0",,"37","28",,"   20","   20","13.0","17.0"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-02-13","6.49"," 1403"," 1627","0.02",,"0.0","3.0",,"43","24",,"  320","  290","16.1","21.0"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-02-14","3.80"," 1712"," 1645","0.00",,"0.0","0.0",,"48","19",,"  230","  240","13.0","17.0"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-02-15","9.84"," 1321"," 1526","0.19",,"0.0","0.0",,"47","31",,"  230","  240","23.0","30.0"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-02-16","6.71"," 1145"," 1200","0.00",,"0.0","0.0",,"42","25",,"  300","  300","16.1","23.0"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-02-17","4.92"," 1730"," 1715","0.00",,"0.0","0.0",,"44","19",,"  310","  310","16.1","21.0"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-02-18","5.82"," 1724"," 1319","0.00",,"0.0","0.0",,"51","26",,"  290","  260","12.1","16.1"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-02-19","3.58"," 1502"," 1623","0.00",,"0.0","0.0",,"58","24",,"  360","  340","12.1","15.0"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-02-20","2.24"," 1355"," 1354","0.00",,"0.0","0.0",,"60","23",,"  260","  270","8.9","13.0"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-02-21","4.47"," 1528"," 1527","0.00",,"0.0","0.0",,"65","25",,"  180","  180","14.1","17.9"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-02-22","4.47"," 0933"," 0934","0.53",,"0.0","0.0",,"52","42",,"  100","  100","17.0","21.9"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-02-23","3.80"," 2251"," 2036","0.01",,"0.0","0.0",,"60","43",,"   30","   40","16.1","23.9"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-02-24","7.38"," 0045"," 0045","0.13",,"0.0","0.0",,"45","37",,"   40","   50","15.0","21.0"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-02-25","11.18"," 1421"," 1448","0.00",,"0.0","0.0",,"39","28",,"  320","  280","23.0","32.0"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-02-26","10.51"," 1232"," 1356","0.00",,"0.0","0.0",,"48","25",,"  290","  250","17.9","25.9"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-02-27","6.26"," 1847"," 1847","0.00",,"0.0","0.0",,"54","27",,"  360","   10","17.0","21.9"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-02-28","7.38"," 1334"," 1333","0.00",,"0.0","0.0",,"52","31",,"  350","  350","17.0","23.0"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-03-01","4.03"," 2124"," 2123","0.00",,"0.0","0.0",,"51","23",,"   20","   20","13.0","16.1"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-03-02","10.96"," 2122"," 2121","0.28",,"0.4","0.0",,"40","33",,"   10","   10","21.0","28.0"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-03-03","8.50"," 1133"," 1008","0.00",,"0.0","0.0",,"48","33",,"  320","  340","17.0","23.9"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-03-04","6.71"," 1616"," 1615","0.00",,"0.0","0.0",,"53","27",,"  310","  300","17.0","25.1"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-03-05","7.38"," 2056"," 2055","0.00",,"0.0","0.0",,"53","24",,"   20","   20","15.0","23.0"
